name,address,hos_lat,hos_lng,phone,is_emergency,nightcare,start_hour,end_hour,image,specialties
가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.51827233800711,126.93673129599131,02-1661-7575,TRUE,FALSE,09:00,17:00,,
가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),37.633608409726854,126.91615048739686,02-1811-7755,TRUE,FALSE,08:30,17:00,,
강남고려병원,서울특별시 관악구 관악로 242 (봉천동),37.4856188363947,126.956781703053,1661-8267,TRUE,FALSE,09:00,18:00,,
강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",37.485612179925724,127.0395873429168,1544-7522,TRUE,TRUE,00:00,23:59,,
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",37.4816513439454,126.911648078471,02-853-4600,TRUE,FALSE,09:00,18:00,,
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),37.5520459324005,127.157084787845,02-440-7114,TRUE,FALSE,08:30,17:30,,
강북삼성병원,서울특별시 종로구 새문안로 29 (평동),37.568497631233825,126.96793805451702,02-2001-2001,TRUE,FALSE,08:30,17:00,,
강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",37.6254205559935,127.026184524499,02-986-0334,TRUE,FALSE,09:00,20:00,,
강서케이병원,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",37.5373576230977,126.836699017573,02-1833-7530,TRUE,FALSE,09:00,18:00,,
건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),37.54084479467721,127.0721229093036,1588-1533,TRUE,FALSE,08:30,17:30,,
경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",37.496413213560785,127.12348793503201,02-3400-1114,TRUE,FALSE,09:00,17:30,,
경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),37.5938765502235,127.05183223390303,02-958-8114,TRUE,FALSE,08:30,17:30,,
고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.49211114525054,126.8847449363546,02-2626-1114,TRUE,FALSE,09:00,17:30,,
구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",37.49964578669388,126.86636039556485,02-2067-1500,TRUE,FALSE,09:00,17:30,,
국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",37.56733955813183,127.00579539705472,02-2260-7114,TRUE,FALSE,08:30,17:00,,
기쁨병원,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",37.482713030212,127.018063486739,02-570-1234,TRUE,FALSE,08:30,17:00,,
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.636442927386746,127.07000281991385,02-970-8000,TRUE,FALSE,08:30,17:30,,
녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),37.58362083896108,127.08605546969357,02-490-2000,TRUE,FALSE,08:30,17:30,,
대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",37.49068925436284,126.90716948025135,02-829-9000,TRUE,FALSE,08:30,17:30,,
더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",37.5009902618151,127.050967336445,02-1661-1177,TRUE,FALSE,09:00,18:00,,
명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",37.4938507104387,126.89925446922592,02-1899-1475,TRUE,FALSE,08:30,18:00,,
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),37.55225379358291,126.83602535156236,1588-2701,TRUE,FALSE,08:30,17:00,,
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",37.556940892893586,126.85094950539181,1577-7582,TRUE,FALSE,09:00,18:00,,
사랑의병원,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동)",37.4796247835746,126.956285774259,02-880-0114,TRUE,FALSE,09:00,18:00,,
삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",37.48851613490445,127.08668245340024,02-3410-2114,TRUE,FALSE,08:30,15:30,,
삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),37.587992001305395,127.0653288266823,02-2244-0191,TRUE,FALSE,09:00,17:00,,
서울대학교병원,서울특별시 종로구 대학로 101 (연건동),37.57966608924356,126.99896308412191,02-1588-5700,TRUE,FALSE,08:00,18:00,,
서울대학교치과병원,서울특별시 종로구 대학로 101 (연건동),37.5804523853297,126.997196437908,1522-2700,TRUE,FALSE,09:00,18:00,,
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.58419129209865,127.04983805981972,02-966-1616,TRUE,FALSE,09:00,17:40,,
서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.56715536263689,126.96699861289684,02-2002-8000,TRUE,FALSE,08:30,17:30,,
서울특별시동부병원,서울특별시 동대문구 무학로 124 (용두동),37.57539886464885,127.03140257525507,02-920-9114,TRUE,FALSE,09:00,17:30,,
서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),37.4937184009319,126.92404876254014,02-870-2114,TRUE,FALSE,09:00,17:00,,
서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),37.51201935883779,126.8331299304024,1566-6688,TRUE,FALSE,09:00,17:30,,
서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),37.61286931510163,127.0980910949257,02-2276-7000,TRUE,FALSE,09:00,17:30,,
서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",37.6402559204261,127.028504374531,02-1588-6853,TRUE,FALSE,09:00,18:00,,
성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),37.53598408220376,127.13526354631517,02-2224-2114,TRUE,FALSE,08:30,17:30,,
성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",37.51205044957338,126.92236733617031,02-840-7114,TRUE,FALSE,09:00,17:30,,
세란병원,서울특별시 종로구 통일로 256 (무악동),37.57534016994642,126.9577071892358,02-737-0181,TRUE,FALSE,09:00,18:00,,
순천향대학교 부속 서울병원,서울특별시 용산구 대사관로 59 (한남동),37.53384172231443,127.00441798640304,02-709-9114,TRUE,FALSE,09:00,17:00,,
신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",37.5525892651719,126.933734666413,02-337-7582,TRUE,FALSE,08:30,17:00,,
씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",37.518848328762154,126.90367981067837,02-2678-0001,TRUE,FALSE,09:00,17:30,,
연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",37.492806984645476,127.04631254186797,02-2019-3114,TRUE,FALSE,08:30,17:30,,
연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),37.56211711412639,126.94082769649863,02-2228-0114,TRUE,FALSE,08:30,17:30,,
우리들병원,서울특별시 강서구 하늘길 70 (과해동),37.56199597494205,126.7963653099318,02-2660-7500,TRUE,FALSE,09:30,20:00,,
은평연세병원,서울특별시 은평구 연서로 177 (갈현동),37.6146922208583,126.917472218592,02-388-8114,TRUE,FALSE,08:30,17:30,,
의료법인동신의료재단동신병원,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",37.58110428173239,126.93658306608872,02-396-9161,TRUE,FALSE,09:00,17:30,,
의료법인서울효천의료재단에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",37.48427507045319,126.93253922577287,02-1877-8875,TRUE,FALSE,08:30,17:30,,
의료법인성화의료재단대한병원,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",37.63547043209498,127.02267251878474,02-903-3232,TRUE,FALSE,09:00,18:00,,
의료법인인봉의료재단영등포병원,서울특별시 영등포구 당산로31길 10 (당산동3가),37.526858089517,126.89561402986,02-2635-2809,TRUE,FALSE,08:30,17:30,,
의료법인청구성심병원,서울특별시 은평구 통일로 873 (갈현동),37.62079154435882,126.91955399169245,02-350-3300,TRUE,FALSE,08:30,17:30,,
의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",37.60067564592665,127.1090292210168,02-437-5011,TRUE,FALSE,08:00,17:30,,
의료법인한전의료재단한일병원,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",37.64611570419094,127.02902417950423,02-901-3114,TRUE,FALSE,09:00,17:30,,
이화여자대학교의과대학부속목동병원,서울특별시 양천구 안양천로 1071 (목동),37.53654282637804,126.8862159683056,02-2650-5114,TRUE,FALSE,08:00,17:30,,
이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",37.557261149,126.8362659275,1522-7000,TRUE,FALSE,08:30,17:00,,
인제대학교상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.6485812672986,127.06311619032102,02-950-1114,TRUE,FALSE,08:30,17:00,,
