name,address,hos_lat,hos_lng,phone,is_emergency,nightcare,start_hour,end_hour,image,specialties
고려대학교안암병원,"서울특별시 성북구 고려대로 73",37.5868,127.0276,02-1577-0083,TRUE,FALSE,08:30,17:30,,
성심백세안과의원,"서울특별시 성북구 동소문로 181, 성북성심빌딩 4층 (돈암동)",37.5983885994911,127.021443949614,02-953-0110,FALSE,FALSE,10:00,20:00,,
성신의원,"서울특별시 성북구 숭인로 16, (길음동)",37.611782610011,127.023879571821,02-983-6063,FALSE,FALSE,09:30,18:30,,
아이사랑소아청소년과의원,"서울특별시 성북구 보국문로 50",37.6088639482975,127.01008574376,02-911-7501,FALSE,FALSE,09:00,18:00,,
아미치과의원,"서울특별시 성북구 오패산로 49, 302호 (하월곡동)",37.6063959895976,127.036436084577,02-911-0075,FALSE,FALSE,09:00,18:00,,
연세효상의원,"서울특별시 성북구 동소문로 36, 2층 (동소문동3가, 소석빌딩)",37.5899434086,127.010095192,02-742-8288,FALSE,FALSE,09:00,20:00,,
연세삼성산부인과의원,"서울특별시 성북구 성북로 3 (성북동1가, 이금희산부인과)",37.58863986627003,127.00560215511624,02-762-2081,FALSE,FALSE,10:00,18:30,,
고운숨결내과의원,"서울특별시 성북구 고려대로13길 8, 3,4층 (안암동2가)",37.5869966613958,127.023677137625,02-925-9696,FALSE,FALSE,08:00,19:00,,
열린소아청소년과의원,"서울특별시 성북구 정릉로 306, 1층 (정릉동)",37.602709190757345,127.01715660480073,02-919-8899,FALSE,FALSE,09:00,18:00,,
강북삼성의원,"서울특별시 성북구 화랑로40길 54, 지상3,4층 (석관동, 영원빌딩)",37.613453428334,127.064484472177,02-965-6900,FALSE,FALSE,09:00,18:00,,
우성연합의원,"서울특별시 성북구 돌곶이로 71, 1,2,3층 (석관동)",37.6098455356344,127.057824865401,02-963-8275,FALSE,FALSE,08:00,18:00,,
365봄이비인후과의원,"서울특별시 성북구 길음로 33, A동상가동 지하1층 1호,2-1호 (길음동, 길음뉴타운8단지아파트)",37.6050832927232,127.022078590713,02-943-9119,FALSE,FALSE,09:00,19:30,,
